date,state,manufacturing_employment
1990-01-01,California,1985.5
1990-01-01,Indiana,605.6
1990-01-01,Michigan,810.0
1990-01-01,Ohio,1044.4
1990-01-01,Texas,938.9
1990-02-01,California,1985.4
1990-02-01,Indiana,607.3
1990-02-01,Michigan,836.0
1990-02-01,Ohio,1061.6
1990-02-01,Texas,939.4
1990-03-01,California,1982.7
1990-03-01,Indiana,609.6
1990-03-01,Michigan,848.3
1990-03-01,Ohio,1064.6
1990-03-01,Texas,940.7
1990-04-01,California,1983.1
1990-04-01,Indiana,609.6
1990-04-01,Michigan,843.3
1990-04-01,Ohio,1068.6
1990-04-01,Texas,942.1
1990-05-01,California,1980.3
1990-05-01,Indiana,609.7
1990-05-01,Michigan,838.1
1990-05-01,Ohio,1068.6
1990-05-01,Texas,940.6
1990-06-01,California,1974.6
1990-06-01,Indiana,609.7
1990-06-01,Michigan,841.8
1990-06-01,Ohio,1069.4
1990-06-01,Texas,942.0
1990-07-01,California,1970.3
1990-07-01,Indiana,612.3
1990-07-01,Michigan,838.1
1990-07-01,Ohio,1068.2
1990-07-01,Texas,947.5
1990-08-01,California,1964.0
1990-08-01,Indiana,609.9
1990-08-01,Michigan,832.2
1990-08-01,Ohio,1066.3
1990-08-01,Texas,950.2
1990-09-01,California,1953.3
1990-09-01,Indiana,608.0
1990-09-01,Michigan,832.2
1990-09-01,Ohio,1064.8
1990-09-01,Texas,950.1
1990-10-01,California,1951.5
1990-10-01,Indiana,606.6
1990-10-01,Michigan,830.7
1990-10-01,Ohio,1059.3
1990-10-01,Texas,951.0
1990-11-01,California,1944.4
1990-11-01,Indiana,593.9
1990-11-01,Michigan,806.3
1990-11-01,Ohio,1042.6
1990-11-01,Texas,949.3
1990-12-01,California,1939.2
1990-12-01,Indiana,591.4
1990-12-01,Michigan,798.7
1990-12-01,Ohio,1038.9
1990-12-01,Texas,944.2
1991-01-01,California,1942.6
1991-01-01,Indiana,589.9
1991-01-01,Michigan,783.2
1991-01-01,Ohio,1034.3
1991-01-01,Texas,947.5
1991-02-01,California,1928.9
1991-02-01,Indiana,579.8
1991-02-01,Michigan,785.4
1991-02-01,Ohio,1020.0
1991-02-01,Texas,946.9
1991-03-01,California,1915.3
1991-03-01,Indiana,573.3
1991-03-01,Michigan,774.2
1991-03-01,Ohio,1020.1
1991-03-01,Texas,945.7
1991-04-01,California,1914.9
1991-04-01,Indiana,582.7
1991-04-01,Michigan,774.2
1991-04-01,Ohio,1018.9
1991-04-01,Texas,936.9
1991-05-01,California,1902.1
1991-05-01,Indiana,584.5
1991-05-01,Michigan,784.1
1991-05-01,Ohio,1019.0
1991-05-01,Texas,936.0
1991-06-01,California,1891.7
1991-06-01,Indiana,586.0
1991-06-01,Michigan,782.3
1991-06-01,Ohio,1021.0
1991-06-01,Texas,936.1
1991-07-01,California,1879.4
1991-07-01,Indiana,588.6
1991-07-01,Michigan,790.3
1991-07-01,Ohio,1018.1
1991-07-01,Texas,931.9
1991-08-01,California,1880.4
1991-08-01,Indiana,588.7
1991-08-01,Michigan,784.8
