date,Ohio,Indiana,Michigan,Texas,California
1990-01-01,1044.4,605.6,810.0,938.8,1985.5
1990-02-01,1061.6,607.3,836.0,939.4,1985.4
1990-03-01,1064.6,609.6,848.3,940.8,1982.7
1990-04-01,1068.6,609.6,843.3,942.2,1983.1
1990-05-01,1068.6,609.7,838.1,940.7,1980.3
1990-06-01,1069.4,609.7,841.8,941.8,1974.6
1990-07-01,1068.2,612.3,838.1,947.2,1970.3
1990-08-01,1066.3,609.9,832.2,950.2,1964.0
1990-09-01,1064.8,608.0,832.2,949.6,1953.3
1990-10-01,1059.3,606.6,830.7,950.7,1951.5
1990-11-01,1042.6,593.9,806.3,949.5,1944.4
1990-12-01,1038.9,591.4,798.7,944.1,1939.2
1991-01-01,1034.3,589.9,783.2,947.3,1942.6
1991-02-01,1020.0,579.8,785.4,946.8,1928.9
1991-03-01,1020.1,573.3,774.2,945.7,1915.3
1991-04-01,1018.9,582.7,774.2,936.9,1914.9
1991-05-01,1019.0,584.5,784.1,936.0,1902.1
1991-06-01,1021.0,586.0,782.3,936.0,1891.7
1991-07-01,1018.1,588.6,790.3,931.5,1879.4
1991-08-01,1019.2,588.7,784.8,930.2,1880.4
1991-09-01,1016.6,589.3,791.1,928.8,1875.3
1991-10-01,1014.0,591.1,792.4,921.5,1876.4
1991-11-01,1012.6,590.7,791.9,922.9,1862.5
1991-12-01,1009.5,591.3,787.6,920.5,1846.3
1992-01-01,1004.4,589.3,771.7,922.9,1841.8
1992-02-01,1002.8,590.6,781.8,921.2,1828.8
1992-03-01,996.6,592.4,784.9,918.7,1830.6
1992-04-01,1000.8,595.6,792.4,922.9,1814.2
1992-05-01,998.9,597.8,792.3,926.1,1802.0
1992-06-01,994.6,598.5,791.0,926.4,1791.5
1992-07-01,993.9,597.9,793.8,928.4,1792.6
1992-08-01,987.8,598.5,791.4,927.7,1776.7
1992-09-01,984.4,598.6,789.5,926.3,1764.5
1992-10-01,986.7,598.4,788.0,930.8,1774.9
1992-11-01,985.5,597.7,790.8,932.1,1750.0
1992-12-01,983.9,600.6,790.9,933.7,1736.0
1993-01-01,983.9,604.6,799.1,932.6,1744.3
1993-02-01,982.8,603.5,795.6,937.0,1732.2
1993-03-01,980.2,604.2,794.8,939.4,1719.9
1993-04-01,978.4,605.5,793.3,934.3,1710.5
1993-05-01,979.1,606.0,791.9,936.9,1702.9
1993-06-01,979.4,606.6,790.1,939.0,1698.8
1993-07-01,983.2,608.9,803.7,940.4,1689.6
1993-08-01,983.1,610.2,786.5,941.3,1683.3
1993-09-01,986.7,612.7,794.8,943.9,1678.4
1993-10-01,975.6,614.8,802.9,945.2,1675.7
1993-11-01,978.9,618.1,807.4,946.4,1673.9
1993-12-01,982.5,619.8,813.8,948.5,1672.6
1994-01-01,990.5,615.0,823.5,948.8,1670.0
1994-02-01,991.9,616.5,822.9,948.7,1667.7
1994-03-01,994.5,619.7,827.9,951.7,1673.6
1994-04-01,994.6,620.4,830.0,956.8,1681.5
1994-05-01,998.2,622.9,831.4,960.3,1683.7
1994-06-01,1000.1,625.0,837.6,962.2,1684.4
1994-07-01,1003.2,624.9,839.3,967.0,1696.3
1994-08-01,1006.6,631.0,843.0,970.4,1691.8
1994-09-01,1011.3,634.2,849.6,973.5,1692.9
1994-10-01,1015.7,632.5,851.9,974.8,1693.9
1994-11-01,1020.2,639.3,858.8,978.5,1697.7
1994-12-01,1024.7,644.2,862.8,981.4,1704.8
1995-01-01,1031.4,649.2,861.6,985.3,1700.5
1995-02-01,1034.5,650.5,865.0,988.3,1704.9
1995-03-01,1037.9,652.4,867.8,989.5,1706.2
1995-04-01,1040.9,651.1,865.5,991.2,1705.0
1995-05-01,1040.6,651.0,867.0,990.9,1705.1
1995-06-01,1041.1,649.7,867.9,992.5,1710.1
1995-07-01,1035.4,650.5,862.5,990.1,1714.5
1995-08-01,1040.5,652.8,862.1,993.7,1723.5
1995-09-01,1040.7,654.8,861.2,996.5,1734.2
1995-10-01,1037.5,653.4,863.6,998.3,1728.1
1995-11-01,1037.6,654.9,859.0,1000.4,1735.3
1995-12-01,1036.1,655.2,865.9,1005.4,1739.6
1996-01-01,1034.5,647.7,863.2,1004.9,1750.5
1996-02-01,1036.7,646.6,860.4,1007.4,1756.7
1996-03-01,1023.5,644.7,847.2,1008.8,1761.9
1996-04-01,1031.2,645.5,857.9,1009.2,1765.0
1996-05-01,1030.2,646.8,855.5,1011.4,1771.9
1996-06-01,1031.3,647.8,857.9,1011.8,1775.4
1996-07-01,1032.1,638.2,858.0,1016.9,1774.9
1996-08-01,1031.5,647.3,858.8,1019.3,1779.8
1996-09-01,1029.4,647.2,858.5,1020.0,1783.1
1996-10-01,1029.2,647.6,856.0,1021.4,1786.4
1996-11-01,1025.7,646.3,858.1,1024.7,1793.6
1996-12-01,1027.4,647.1,855.1,1025.5,1795.4
1997-01-01,1026.0,648.9,855.3,1027.3,1791.0
1997-02-01,1025.9,650.1,857.8,1031.0,1799.2
