date,ticker,price
2022-01-03,AAAA,73.26
2022-01-04,AAAA,76.01
2022-01-05,AAAA,78.11
2022-01-06,AAAA,79.41
2022-01-07,AAAA,79.44
2022-01-10,AAAA,80.14
2022-01-11,AAAA,81.84
2022-01-12,AAAA,80.82
2022-01-13,AAAA,80.1
2022-01-14,AAAA,77.47
2022-01-17,AAAA,76.29
2022-01-18,AAAA,78.86
2022-01-19,AAAA,78.34
2022-01-20,AAAA,77.84
2022-01-21,AAAA,78.34
2022-01-24,AAAA,75.85
2022-01-25,AAAA,77.3
2022-01-26,AAAA,79.28
2022-01-27,AAAA,79.88
2022-01-28,AAAA,82.57
2022-01-31,AAAA,80.4
2022-02-01,AAAA,83.43
2022-02-02,AAAA,82.21
2022-02-03,AAAA,80.14
2022-02-04,AAAA,79.76
2022-02-07,AAAA,82.8
2022-02-08,AAAA,82.77
2022-02-09,AAAA,81.24
2022-02-10,AAAA,79.16
2022-02-11,AAAA,79.0
2022-02-14,AAAA,75.91
2022-02-15,AAAA,73.96
2022-02-16,AAAA,76.27
2022-02-17,AAAA,78.32
2022-02-18,AAAA,78.12
2022-02-21,AAAA,77.4
2022-02-22,AAAA,77.49
2022-02-23,AAAA,81.21
2022-02-24,AAAA,81.87
2022-02-25,AAAA,83.38
2022-02-28,AAAA,83.04
2022-03-01,AAAA,83.14
2022-03-02,AAAA,84.22
2022-03-03,AAAA,84.44
2022-03-04,AAAA,81.29
2022-03-07,AAAA,83.4
2022-03-08,AAAA,82.38
2022-03-09,AAAA,85.93
2022-03-10,AAAA,87.12
2022-03-11,AAAA,87.25
2022-03-14,AAAA,88.02
2022-03-15,AAAA,87.82
2022-03-16,AAAA,86.97
2022-03-17,AAAA,87.34
2022-03-18,AAAA,88.9
2022-03-21,AAAA,88.07
2022-03-22,AAAA,86.98
2022-03-23,AAAA,86.37
2022-03-24,AAAA,88.03
2022-03-25,AAAA,90.62
2022-03-28,AAAA,91.28
2022-03-29,AAAA,92.35
2022-03-30,AAAA,91.19
2022-03-31,AAAA,92.81
2022-04-01,AAAA,93.84
2022-04-04,AAAA,92.51
2022-04-05,AAAA,89.26
2022-04-06,AAAA,87.11
2022-04-07,AAAA,85.95
2022-04-08,AAAA,87.97
2022-04-11,AAAA,90.75
2022-04-12,AAAA,89.96
2022-04-13,AAAA,89.22
2022-04-14,AAAA,89.69
2022-04-15,AAAA,89.71
2022-04-18,AAAA,91.4
2022-04-19,AAAA,90.45
2022-04-20,AAAA,92.18
2022-04-21,AAAA,91.74
2022-04-22,AAAA,93.32
2022-04-25,AAAA,92.82
2022-04-26,AAAA,91.69
2022-04-27,AAAA,95.26
2022-04-28,AAAA,97.31
2022-04-29,AAAA,93.89
2022-05-02,AAAA,93.05
2022-05-03,AAAA,95.32
2022-05-04,AAAA,93.07
2022-05-05,AAAA,94.51
2022-05-06,AAAA,95.78
2022-05-09,AAAA,94.45
2022-05-10,AAAA,94.44
2022-05-11,AAAA,90.57
2022-05-12,AAAA,93.83
2022-05-13,AAAA,93.26
