date,North,South,East,West
2017-01-01,102373.1,81565.82,120039.01,85866.99
2017-04-01,103071.84,86690.95,130160.6,92986.52
2017-07-01,105808.38,82351.48,120806.03,93145.11
2017-10-01,93194.45,78439.34,125560.51,88941.36
2018-01-01,104960.57,81159.93,125077.0,94745.14
2018-04-01,115571.37,89696.76,126428.53,110558.19
2018-07-01,101828.39,85679.22,121587.32,96512.67
2018-10-01,98901.11,78456.95,122047.42,94006.7
2019-01-01,106698.95,91997.32,125729.61,99262.01
2019-04-01,110689.57,93621.5,134342.0,104154.17
2019-07-01,103348.01,84426.09,129419.71,97054.19
2019-10-01,104005.69,85769.66,123581.51,96076.91
2020-01-01,106413.09,86675.95,127059.62,97281.52
2020-04-01,116820.78,97761.25,130855.46,104689.54
2020-07-01,108441.73,94675.79,129860.46,99743.91
2020-10-01,111649.8,84537.95,129569.2,97245.62
2021-01-01,110450.24,95690.13,133442.28,109743.98
2021-04-01,117633.82,99838.34,134862.78,102998.2
2021-07-01,116840.55,96866.18,134919.54,106458.78
2021-10-01,106507.41,95890.38,131355.95,95361.85
2022-01-01,116682.38,95263.84,133348.43,104584.2
2022-04-01,125721.43,99538.79,142261.18,115066.85
2022-07-01,112777.55,94931.46,137774.63,107792.84
2022-10-01,113953.9,90952.57,129971.09,100166.77
2023-01-01,119979.65,98968.69,140273.36,107054.09
2023-04-01,127345.47,106023.46,146682.35,117038.79
2023-07-01,117089.15,101630.07,144049.15,108608.9
2023-10-01,112638.63,99081.55,139761.41,107249.38
