date,sales
2014-01-01,44065.23
2014-02-01,45923.47
2014-03-01,51695.38
2014-04-01,57646.06
2014-05-01,57259.9
2014-06-01,58531.73
2014-07-01,61286.63
2014-08-01,56934.87
2014-09-01,50661.05
2014-10-01,48885.12
2014-11-01,44144.96
2014-12-01,43268.54
2015-01-01,45955.72
2015-02-01,44773.44
2015-03-01,49350.16
2015-04-01,55875.42
2015-05-01,58102.54
2015-06-01,62028.49
2015-07-01,58712.16
2015-08-01,54975.39
2015-09-01,56931.3
2015-10-01,49748.45
2015-11-01,47606.85
2015-12-01,43750.5
2016-01-01,46783.03
2016-02-01,51221.85
2016-03-01,52898.01
2016-04-01,60151.4
2016-05-01,61326.93
2016-06-01,63216.61
2016-07-01,61724.79
2016-08-01,63904.56
2016-09-01,56373.01
2016-10-01,50484.58
2016-11-01,51516.89
2016-12-01,46558.31
2017-01-01,65689.52
2017-02-01,49480.66
2017-03-01,54943.63
2017-04-01,62193.72
2017-05-01,66405.14
2017-06-01,66542.74
2017-07-01,65096.91
2017-08-01,61997.79
2017-09-01,55842.96
2017-10-01,53560.31
2017-11-01,51350.52
2017-12-01,53514.24
2018-01-01,53359.03
2018-02-01,52273.92
2018-03-01,60648.17
2018-04-01,63429.84
2018-05-01,65974.36
2018-06-01,69823.35
2018-07-01,69790.2
2018-08-01,66862.56
2018-09-01,59521.56
2018-10-01,56781.58
2018-11-01,55334.32
2018-12-01,55751.09
2019-01-01,54113.45
2019-02-01,57828.68
2019-03-01,60187.33
2019-04-01,64207.59
2019-05-01,71353.25
2019-06-01,73712.48
2019-07-01,69984.18
2019-08-01,69407.07
2019-09-01,64323.27
2019-10-01,58509.76
2019-11-01,57794.59
2019-12-01,59276.07
2020-01-01,72400.14
2020-02-01,63729.29
2020-03-01,59560.51
2020-04-01,70643.81
2020-05-01,72302.3
2020-06-01,72801.99
2020-07-01,72711.72
2020-08-01,65824.86
2020-09-01,65560.66
2020-10-01,62914.23
2020-11-01,62427.58
2020-12-01,57563.46
2021-01-01,58254.81
2021-02-01,61996.49
2021-03-01,69030.8
2021-04-01,72057.5
2021-05-01,73468.68
2021-06-01,76826.53
2021-07-01,75122.36
2021-08-01,74137.29
2021-09-01,66995.89
2021-10-01,63944.68
2021-11-01,61087.58
2021-12-01,58072.97
2022-01-01,62864.04
2022-02-01,65922.11
2022-03-01,69610.23
2022-04-01,73330.83
2022-05-01,89097.46
2022-06-01,77358.71
2022-07-01,76642.77
2022-08-01,72995.45
2022-09-01,70477.43
2022-10-01,67808.1
2022-11-01,68044.17
2022-12-01,63749.16
2023-01-01,65186.9
2023-02-01,67651.11
2023-03-01,68162.46
2023-04-01,76146.97
2023-05-01,79448.66
2023-06-01,85526.48
2023-07-01,79343.48
2023-08-01,77603.09
2023-09-01,73130.58
2023-10-01,67062.64
2023-11-01,68957.44
2023-12-01,67303.87
